,Input,Final_Output
12,"Konishi, H.; Mohseni, M.; Tamaki, A.; Garay, J.P.; Croessmann, S.; Karnan, S.; Ota, A.; Wong, H.Y.; Konishi, Y.; Karakas, B.; et al. Mutation of a Single Allele of the Cancer Susceptibility Gene BRCA1 Leads to Genomic Instability in Human Breast Epithelial Cells. Proc. Natl. Acad. Sci. USA 2011, 108, 17773–17778.","{""author"": ""H. Konishi, M. Mohseni, A. Tamaki, J.P. Garay, S. Croessmann, S. Karnan, A. Ota, H.Y. Wong, Y. Konishi, B. Karakas, et al."", ""journalName"": ""Proc. Natl. Acad. Sci. USA"", ""year"": 2011}"
13,"Chen, E.; Sook Ahn, J.; Massie, C.E.; Clynes, D.; Godfrey, A.L.; Li, J.; Park, H.J.; Nangalia, J.; Silber, Y.; Mullally, A.; et al. JAK2V617F Promotes Replication Fork Stalling with Disease-Restricted Impairment of the Intra-S Checkpoint Response. Proc. Natl. Acad. Sci. USA 2014, 111, 15190–15195.","{""author"": ""E. Chen, J. Sook Ahn, C.E. Massie, D. Clynes, A.L. Godfrey, J. Li, H.J. Park, J. Nangalia, Y. Silber, A. Mullally, et al."", ""journalName"": ""Proc. Natl. Acad. Sci. USA"", ""year"": 2014}"
14,"Marty, C.; Lacout, C.; Droin, N.; Le Couédic, J.P.; Ribrag, V.; Solary, E.; Vainchenker, W.; Villeval, J.L.; Plo, I. A Role for Reactive Oxygen Species in JAK2 V617F Myeloproliferative Neoplasm Progression. Leukemia 2013, 27, 2187–2195.","{""author"": ""C. Marty, C. Lacout, N. Droin, J.P. Le Cou\u00e9dic, V. Ribrag, E. Solary, W. Vainchenker, J.L. Villeval, I. Plo"", ""journalName"": ""Leukemia"", ""year"": 2013}"
15,"Li, J.; Spensberger, D.; Ahn, J.S.; Anand, S.; Beer, P.A.; Ghevaert, C.; Chen, E.; Forrai, A.; Scott, L.M.; Ferreira, R.; et al. JAK2 V617F Impairs Hematopoietic Stem Cell Function in a Conditional Knock-in Mouse Model of JAK2 V617F-Positive Essential Thrombocythemia. Blood 2010, 116, 1528–1538.","{""author"": ""J. Li, D. Spensberger, J.S. Ahn, S. Anand, P.A. Beer, C. Ghevaert, E. Chen, A. Forrai, L.M. Scott, R. Ferreira, et al."", ""journalName"": ""Blood"", ""year"": 2010}"
16,"Plo, I.; Nakatake, M.; Malivert, L.; De Villartay, J.P.; Giraudier, S.; Villeval, J.L.; Wiesmuller, L.; Vainchenker, W. JAK2 Stimulates Homologous Recombination and Genetic Instability: Potential Implication in the Heterogeneity of Myeloproliferative Disorders. Blood 2008, 112, 1402–1412.","{""author"": ""I. Plo, M. Nakatake, L. Malivert, J.P. De Villartay, S. Giraudier, J.L. Villeval, L. Wiesmuller, W. Vainchenker"", ""journalName"": ""Blood"", ""year"": 2008}"
17,"Hasselbalch, H.C. A New Era for IFN-α in the Treatment of Philadelphia-Negative Chronic Myeloproliferative Neoplasms. Expert Rev. Hematol. 2011, 4, 637–655.","{""author"": ""H.C. Hasselbalch"", ""journalName"": ""Expert Rev. Hematol."", ""year"": 2011}"
18,"Maxwell, K.N.; Domchek, S.M.; Nathanson, K.L.; Robson, M.E. Population Frequency of Germline BRCA1/2 Mutations. J. Clin. Oncol. 2016, 34, 4183–4185.","{""author"": ""K.N. Maxwell, S.M. Domchek, K.L. Nathanson, M.E. Robson"", ""journalName"": ""J. Clin. Oncol."", ""year"": 2016}"
19,"Sun, L.; Wu, J.; Du, F.; Chen, X.; Chen, Z.J. Cyclic GMP-AMP Synthase Is a Cytosolic DNA Sensor That Activates the Type I Interferon Pathway. Science 2013, 339, 786–791.","{""author"": ""L. Sun, J. Wu, F. Du, X. Chen, Z.J. Chen"", ""journalName"": ""Science"", ""year"": 2013}"
20,"Poh, W.; Dilley, R.L.; Moliterno, A.R.; Maciejewski, J.P.; Pratz, K.W.; McDevitt, M.A.; Herman, J.G. BRCA1 Promoter Methylation Is Linked to Defective Homologous Recombination Repair and Elevated MiR-155 to Disrupt Myeloid Differentiation in Myeloid Malignancies. Clin. Cancer Res. 2019, 25, 2513–2522.","{""author"": ""W. Poh, R.L. Dilley, A.R. Moliterno, J.P. Maciejewski, K.W. Pratz, M.A. McDevitt, J.G. Herman"", ""journalName"": ""Clin. Cancer Res."", ""year"": 2019}"
21,"Austin, R.J.; Straube, J.; Bruedigam, C.; Pali, G.; Jacquelin, S.; Vu, T.; Green, J.; Gräsel, J.; Lansink, L.; Cooper, L.; et al. Distinct Effects of Ruxolitinib and Interferon-Alpha on Murine JAK2V617F Myeloproliferative Neoplasm Hematopoietic Stem Cell Populations. Leukemia 2020, 34, 1075–1089.","{""author"": ""R.J. Austin, J. Straube, C. Bruedigam, G. Pali, S. Jacquelin, T. Vu, J. Green, J. Gr\u00e4sel, L. Lansink, L. Cooper, et al."", ""journalName"": ""Leukemia"", ""year"": 2020}"
22,"Mullally, A.; Bruedigam, C.; Poveromo, L.; Heidel, F.H.; Purdon, A.; Vu, T.; Austin, R.; Heckl, D.; Breyfogle, L.J.; Kuhn, C.P.; et al. Depletion of Jak2V617F Myeloproliferative Neoplasm-Propagating Stem Cells by Interferon-α in a Murine Model of Polycythemia Vera. Blood 2013, 121, 3692–3702.","{""author"": ""A. Mullally, C. Bruedigam, L. Poveromo, F.H. Heidel, A. Purdon, T. Vu, R. Austin, D. Heckl, L.J. Breyfogle, C.P. Kuhn, et al."", ""journalName"": ""Blood"", ""year"": 2013}"
23,"Quintás-Cardama, A.; Kantarjian, H.; Manshouri, T.; Luthra, R.; Estrov, Z.; Pierce, S.; Richie, M.A.; Borthakur, G.; Konopleva, M.; Cortes, J.; et al. Pegylated Interferon Alfa-2a Yields High Rates of Hematologic and Molecular Response in Patients with Advanced Essential Thrombocythemia and Polycythemia Vera. J. Clin. Oncol. 2009, 27, 5418–5424.","{""author"": ""A. Quint\u00e1s-Cardama, H. Kantarjian, T. Manshouri, R. Luthra, Z. Estrov, S. Pierce, M.A. Richie, G. Borthakur, M. Konopleva, J. Cortes, et al."", ""journalName"": ""J. Clin. Oncol."", ""year"": 2009}"
24,"Härtlova, A.; Erttmann, S.F.; Raffi, F.A.M.; Schmalz, A.M.; Resch, U.; Anugula, S.; Lienenklaus, S.; Nilsson, L.M.; Kröger, A.; Nilsson, J.A.; et al. DNA Damage Primes the Type I Interferon System via the Cytosolic DNA Sensor STING to Promote Antimicrobial Innate Immunity. Immunity 2015, 42, 332–343.","{""author"": ""A. H\u00e4rtlova, S.F. Erttmann, F.A.M. Raffi, A.M. Schmalz, U. Resch, S. Anugula, S. Lienenklaus, L.M. Nilsson, A. Kr\u00f6ger, J.A. Nilsson, et al."", ""journalName"": ""Immunity"", ""year"": 2015}"
25,"McMahon, M.; Frangova, T.G.; Henderson, C.J.; Wolf, C.R. Olaparib, Monotherapy or with Ionizing Radiation, Exacerbates DNA Damage in Normal Tissues: Insights from a New P21 Reporter Mouse. Mol. Cancer Res. 2016, 14, 1195–1203.","{""author"": ""M. McMahon, T.G. Frangova, C.J. Henderson, C.R. Wolf"", ""journalName"": ""Mol. Cancer Res."", ""year"": 2016}"
26,"Guo, X.X.; Wu, H.L.; Shi, H.Y.; Su, L.; Zhang, X. The Efficacy and Safety of Olaparib in the Treatment of Cancers: A Meta Analysis of Randomized Controlled Trials. Cancer Manag. Res. 2018, 10, 2553–2562.","{""author"": ""X.X. Guo, H.L. Wu, H.Y. Shi, L. Su, X. Zhang"", ""journalName"": ""Cancer Manag. Res."", ""year"": 2018}"
27,"Nambiar, D.K.; Mishra, D.; Singh, R.P. Targeting DNA Repair for Cancer Treatment: Lessons from PARP Inhibitor Trials. Oncol. Res. 2023, 31, 405–421.","{""author"": ""D.K. Nambiar, D. Mishra, R.P. Singh"", ""journalName"": ""Oncol. Res."", ""year"": 2023}"
28,"Pantelidou, C.; Sonzogni, O.; Taveira, M.D.O.; Mehta, A.K.; Kothari, A.; Wang, D.; Visal, T.; Li, M.K.; Pinto, J.; Castrillon, J.A.; et al. Parp Inhibitor Efficacy Depends on CD8+ T-Cell Recruitment via Intratumoral Sting Pathway Activation in Brca-Deficient Models of Triple-Negative Breast Cancer. Cancer Discov. 2019, 9, 722–737.","{""author"": ""C. Pantelidou, O. Sonzogni, M.D.O. Taveira, A.K. Mehta, A. Kothari, D. Wang, T. Visal, M.K. Li, J. Pinto, J.A. Castrillon, et al."", ""journalName"": ""Cancer Discov."", ""year"": 2019}"
29,"Corrales, L.; McWhirter, S.M.; Dubensky, T.W.; Gajewski, T.F. The Host STING Pathway at the Interface of Cancer and Immunity. J. Clin. Investig. 2016, 126, 2404–2411.","{""author"": ""L. Corrales, S.M. McWhirter, T.W. Dubensky, T.F. Gajewski"", ""journalName"": ""J. Clin. Investig."", ""year"": 2016}"
30,"Nieborowska-Skorska, M.; Maifrede, S.; Dasgupta, Y.; Sullivan, K.; Flis, S.; Le, B.V.; Solecka, M.; Belyaeva, E.A.; Kubovcakova, L.; Nawrocki, M.; et al. Ruxolitinib-Induced Defects in DNA Repair Cause Sensitivity to PARP Inhibitors in Myeloproliferative Neoplasms. Blood 2017, 130, 2848–2859.","{""author"": ""M. Nieborowska-Skorska, S. Maifrede, Y. Dasgupta, K. Sullivan, S. Flis, B.V. Le, M. Solecka, E.A. Belyaeva, L. Kubovcakova, M. Nawrocki, et al."", ""journalName"": ""Blood"", ""year"": 2017}"
31,"Kirschner, M.; Bornemann, A.; Schubert, C.; Gezer, D.; Kricheldorf, K.; Isfort, S.; Brümmendorf, T.H.; Schemionek, M.; Chatain, N.; Skorski, T.; et al. Transcriptional Alteration of DNA Repair Genes in Philadelphia Chromosome Negative Myeloproliferative Neoplasms. Ann. Hematol. 2019, 98, 2703–2709.","{""author"": ""M. Kirschner, A. Bornemann, C. Schubert, D. Gezer, K. Kricheldorf, S. Isfort, T.H. Br\u00fcmmendorf, M. Schemionek, N. Chatain, T. Skorski, et al."", ""journalName"": ""Ann. Hematol."", ""year"": 2019}"
32,"Essers, M.A.G.; Offner, S.; Blanco-Bose, W.E.; Waibler, Z.; Kalinke, U.; Duchosal, M.A.; Trumpp, A. IFNα Activates Dormant Haematopoietic Stem Cells in Vivo. Nature 2009, 458, 904–908.","{""author"": ""M.A.G. Essers, S. Offner, W.E. Blanco-Bose, Z. Waibler, U. Kalinke, M.A. Duchosal, A. Trumpp"", ""journalName"": ""Nature"", ""year"": 2009}"
33,"Han, L.; Schubert, C.; Köhler, J.; Schemionek, M.; Isfort, S.; Brümmendorf, T.H.; Koschmieder, S.; Chatain, N. Calreticulin-Mutant Proteins Induce Megakaryocytic Signaling to Transform Hematopoietic Cells and Undergo Accelerated Degradation and Golgi-Mediated Secretion. J. Hematol. Oncol. 2016, 9, 45.","{""author"": ""L. Han, C. Schubert, J. K\u00f6hler, M. Schemionek, S. Isfort, T.H. Br\u00fcmmendorf, S. Koschmieder, N. Chatain"", ""journalName"": ""J. Hematol. Oncol."", ""year"": 2016}"
34,"Baumeister, J.; Chatain, N.; Hubrich, A.; Maié, T.; Costa, I.G.; Denecke, B.; Han, L.; Küstermann, C.; Sontag, S.; Seré, K.; et al. Hypoxia-Inducible Factor 1 (HIF-1) Is a New Therapeutic Target in JAK2V617F-Positive Myeloproliferative Neoplasms. Leukemia 2020, 34, 1062–1074.","{""author"": ""J. Baumeister, N. Chatain, A. Hubrich, T. Mai\u00e9, I.G. Costa, B. Denecke, L. Han, C. K\u00fcstermann, S. Sontag, K. Ser\u00e9, et al."", ""journalName"": ""Leukemia"", ""year"": 2020}"
35,"Zhao, Q.; Ma, P.; Fu, P.; Wang, J.; Wang, K.; Chen, L.; Yang, Y. Myelodysplastic Syndrome/Acute Myeloid Leukemia Following the Use of Poly-ADP Ribose Polymerase (PARP) Inhibitors: A Real-World Analysis of Postmarketing Surveillance Data. Front. Pharmacol. 2022, 13, 912256.","{""author"": ""Q. Zhao, P. Ma, P. Fu, J. Wang, K. Wang, L. Chen, Y. Yang"", ""journalName"": ""Front. Pharmacol."", ""year"": 2022}"
36,"Siegel, R.L.; Miller, K.D.; Fuchs, H.E.; Jemal, A. Cancer statistics, 2021. CA Cancer J. Clin. 2021, 71, 7–33.","{""author"": ""R.L. Siegel, K.D. Miller, H.E. Fuchs, A. Jemal"", ""journalName"": ""CA Cancer J. Clin."", ""year"": 2021}"
37,"Sung, H.; Ferlay, J.; Siegel, R.L.; Laversanne, M.; Soerjomataram, I.; Jemal, A.; Bray, F. Global cancer statistics 2020: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries. CA Cancer J. Clin. 2021, 71, 209–249.","{""author"": ""H. Sung, J. Ferlay, R.L. Siegel, M. Laversanne, I. Soerjomataram, A. Jemal, F. Bray"", ""journalName"": ""CA Cancer J. Clin."", ""year"": 2021}"
38,"Zhang, H.; Xiao, L.; Ren, G. Experiences of social support among Chinese women with breast cancer: A qualitative analysis using a framework approach. Med. Sci. Monit. 2018, 24, 574–581.","{""author"": ""H. Zhang, L. Xiao, G. Ren"", ""journalName"": ""Med. Sci. Monit."", ""year"": 2018}"
39,"Park, J.H.; Chun, M.; Jung, Y.S.; Bae, S.H. Predictors of psychological distress trajectories in the first year after a breast cancer diagnosis. Asian Nurs. Res. 2017, 11, 268–275.","{""author"": ""J.H. Park, M. Chun, Y.S. Jung, S.H. Bae"", ""journalName"": ""Asian Nurs. Res."", ""year"": 2017}"
40,"Spatuzzi, R.; Vespa, A.; Lorenzi, P.; Miccinesi, G.; Ricciuti, M.; Cifarelli, W.; Susi, M.; Fabrizio, T.; Ferrari, M.G.; Ottaviani, M.; et al. Evaluation of social support, quality of life, and body image in women with breast cancer. Breast Care 2016, 11, 28–32.","{""author"": ""R. Spatuzzi, A. Vespa, P. Lorenzi, G. Miccinesi, M. Ricciuti, W. Cifarelli, M. Susi, T. Fabrizio, M.G. Ferrari, M. Ottaviani, et al."", ""journalName"": ""Breast Care"", ""year"": 2016}"
41,"Mokhatri-Hesari, P.; Montazeri, A. Health-related quality of life in breast cancer patients: Review of reviews from 2008 to 2018. Health Qual. Life Outcomes 2020, 18, 338.","{""author"": ""P. Mokhatri-Hesari, A. Montazeri"", ""journalName"": ""Health Qual. Life Outcomes"", ""year"": 2020}"
42,"Hashemi, S.M.; Balouchi, A.; Al-Mawali, A.; Rafiemanesh, H.; Rezaie-Keikhaie, K.; Bouya, S.; Dehghan, B.; Farahani, M.A. Health-related quality of life of breast cancer patients in the eastern Mediterranean region: A systematic review and meta-analysis. Breast Cancer Res. Treat. 2019, 174, 585–596.","{""author"": ""S.M. Hashemi, A. Balouchi, A. Al-Mawali, H. Rafiemanesh, K. Rezaie-Keikhaie, S. Bouya, B. Dehghan, M.A. Farahani"", ""journalName"": ""Breast Cancer Res. Treat."", ""year"": 2019}"
43,"El Haidari, R.; Abbas, L.A.; Nerich, V.; Anota, A. Factors associated with health-related quality of life in women with breast cancer in the Middle East: A systematic review. Cancers 2020, 12, 696.","{""author"": ""R. El Haidari, L.A. Abbas, V. Nerich, A. Anota"", ""journalName"": ""Cancers"", ""year"": 2020}"
44,"Sousa, H.; Castro, S.; Abreu, J.; Pereira, M.G. A systematic review of factors affecting quality of life after postmastectomy breast reconstruction in women with breast cancer. Psychooncology 2019, 28, 2107–2118","{""author"": ""H. Sousa, S. Castro, J. Abreu, M.G. Pereira"", ""journalName"": ""Psychooncology"", ""year"": 2019}"
45,"Çelik, G.K.; Çakır, H.; Kut, E. Mediating Role of Social Support in Resilience and Quality of Life in Patients with Breast Cancer: Structural Equation Model Analysis. Asia Pac. J. Oncol. Nurs. 2020, 8, 86–93.","{""author"": ""G.K. \u00c7elik, H. \u00c7ak\u0131r, E. Kut"", ""journalName"": ""Asia Pac. J. Oncol. Nurs."", ""year"": 2020}"
46,"Ozdemir, D.; Arslan, F.T. An investigation of the relationship between social support and coping with stress in women with breast cancer. Psychooncology 2018, 27, 2214–2219.","{""author"": ""D. Ozdemir, F.T. Arslan"", ""journalName"": ""Psychooncology"", ""year"": 2018}"
47,"Almuhtaseb, M.I.A.; Alby, F.; Zucchermaglio, C.; Fatigante, M. Social support for breast cancer patients in the occupied Palestinian territory. PLoS ONE 2021, 16, e0252608.","{""author"": ""M.I.A. Almuhtaseb, F. Alby, C. Zucchermaglio, M. Fatigante"", ""journalName"": ""PLoS ONE"", ""year"": 2021}"
48,"Schulz, U.; Schwarzer, R. Soziale Unterstützung bei der Krankheitsbewältigung: Die Berliner Social Support Skalen (BSSS) [Social support in coping with illness: The Berlin Social Support Scales (BSSS)]. Diagnostica 2003, 49, 73–82.","{""author"": ""U. Schulz, R. Schwarzer"", ""journalName"": ""Diagnostica"", ""year"": 2003}"
49,"Helgeson, V.S.; Cohen, S. Social support and adjustment to cancer: Reconciling descriptive, correlational, and intervention research. Health Psychol. 1996, 15, 135–148.","{""author"": ""V.S. Helgeson, S. Cohen"", ""journalName"": ""Health Psychol."", ""year"": 1996}"
50,"Barrera, M. Distinctions between social support concepts, measures, and models. Am. J. Comm. Psychol. 1986, 14, 413–445.","{""author"": ""M. Barrera"", ""journalName"": ""Am. J. Comm. Psychol."", ""year"": 1986}"
51,"Cohen, S.; Wills, T.A. Stress, social support, and the buffering hypothesis. Psychol. Bull. 1985, 98, 310–357","{""author"": ""S. Cohen, T.A. Wills"", ""journalName"": ""Psychol. Bull."", ""year"": 1985}"
52,"Schwarzer, R.; Leppin, A. Social support and health: A theoretical and empirical overview. J. Soc. Pers. Relat. 1991, 8, 99–127.","{""author"": ""R. Schwarzer, A. Leppin"", ""journalName"": ""J. Soc. Pers. Relat."", ""year"": 1991}"
53,"Cohen, S.; Gottlieb, B.H.; Underwood, L.G. Social relationships and health: Challenges for measurement and intervention. Adv. Mind Body Med. 2001, 17, 129–141.","{""author"": ""S. Cohen, B.H. Gottlieb, L.G. Underwood"", ""journalName"": ""Adv. Mind Body Med."", ""year"": 2001}"
54,"Abdollahi, A.; Alsaikhan, F.; Nikolenko, D.A.; Al-Gazally, M.E.; Mahmudiono, T.; Allen, K.A.; Abdullaev, B. Self-care behaviors mediate the relationship between resilience and quality of life in breast cancer patients. BMC Psychiatry 2022, 22, 825.","{""author"": ""A. Abdollahi, F. Alsaikhan, D.A. Nikolenko, M.E. Al-Gazally, T. Mahmudiono, K.A. Allen, B. Abdullaev"", ""journalName"": ""BMC Psychiatry"", ""year"": 2022}"
55,"Zhou, K.; Ning, F.; Wang, W.; Li, X. The mediator role of resilience between psychological predictors and health-related quality of life in breast cancer survivors: A cross-sectional study. BMC Cancer 2022, 22, 57.","{""author"": ""K. Zhou, F. Ning, W. Wang, X. Li"", ""journalName"": ""BMC Cancer"", ""year"": 2022}"
56,"Pasek, M.; Suchocka, L.; G ˛ asior, K. Model of Social Support for Patients Treated for Cancer. Cancers 2021, 13, 4786.","{""author"": ""M. Pasek, L. Suchocka, K. G \u02db asior"", ""journalName"": ""Cancers"", ""year"": 2021}"
57,"Wyatt, G.; Beckrow, K.C.; Gardiner, J.; Pathak, D. Predictors of postsurgical subacute emotional and physical well-being among women with breast cancer. Cancer Nurs. 2008, 31, E28–E39.","{""author"": ""G. Wyatt, K.C. Beckrow, J. Gardiner, D. Pathak"", ""journalName"": ""Cancer Nurs."", ""year"": 2008}"
58,"Yancik, R.; Wesley, M.N.; Ries, L.A.; Havlik, R.J.; Edwards, B.K.; Yates, J.W. Effect of age and comorbidity in postmenopausal breast cancer patients aged 55 years and older. JAMA 2001, 285, 885–892.","{""author"": ""R. Yancik, M.N. Wesley, L.A. Ries, R.J. Havlik, B.K. Edwards, J.W. Yates"", ""journalName"": ""JAMA"", ""year"": 2001}"
59,"Posma, E.R.; van Weert, J.C.; Jansen, J.; Bensing, J.M. Older cancer patients’ information and support needs surrounding treatment: An evaluation through the eyes of patients, relatives and professionals. BMC Nurs. 2009, 8, 1.","{""author"": ""E.R. Posma, J.C. van Weert, J. Jansen, J.M. Bensing"", ""journalName"": ""BMC Nurs."", ""year"": 2009}"
60,"Faraci, P.; Bottaro, R. A Cross-Sectional Study Examining the Relationship Between Socio-Demographics and Coping Styles in a Group of Cancer Patients. Clin. Neuropsychiatry 2021, 18, 3–12.","{""author"": ""P. Faraci, R. Bottaro"", ""journalName"": ""Clin. Neuropsychiatry"", ""year"": 2021}"
61,"Zhu, J.; Sjölander, A.; Fall, K.; Valdimarsdottir, U.; Fang, F. Mental disorders around cancer diagnosis and increased hospital admission rate—A nationwide cohort study of Swedish cancer patients. BMC Cancer 2018, 18, 322","{""author"": ""J. Zhu, A. Sj\u00f6lander, K. Fall, U. Valdimarsdottir, F. Fang"", ""journalName"": ""BMC Cancer"", ""year"": 2018}"
62,"DiMillo, J.; Hall, N.C.; Ezer, H.; Schwarzer, R.; Körner, A. The Berlin Social Support Scales: Validation of the Received Support Scale in a Canadian sample of patients affected by melanoma. J. Health Psychol. 2019, 24, 1785–1795.","{""author"": ""J. DiMillo, N.C. Hall, H. Ezer, R. Schwarzer, A. K\u00f6rner"", ""journalName"": ""J. Health Psychol."", ""year"": 2019}"
63,"Lu, D.; Andersson, T.M.; Fall, K.; Hultman, C.M.; Czene, K.; Valdimarsdóttir, U.; Fang, F. Clinical Diagnosis of Mental Disorders Immediately Before and After Cancer Diagnosis: A Nationwide Matched Cohort Study in Sweden. JAMA Oncol. 2016, 2, 1188–1196.","{""author"": ""D. Lu, T.M. Andersson, K. Fall, C.M. Hultman, K. Czene, U. Valdimarsd\u00f3ttir, F. Fang"", ""journalName"": ""JAMA Oncol."", ""year"": 2016}"
64,"Usta, Y.Y. Importance of social support in cancer patients. Asian Pac. J. Cancer Prev. 2012, 13, 3569–3572.","{""author"": ""Y.Y. Usta"", ""journalName"": ""Asian Pac. J. Cancer Prev."", ""year"": 2012}"
65,"Corovic, S.; Vucic, V.; Mihaljevic, O.; Djordjevic, J.; Colovic, S.; Radovanovic, S.; Radevic, S.; Vukomanovic, I.S.; Janicijevic, K.; Sekulic, M.; et al. Social support score in patients with malignant diseases-with sociodemographic and medical characteristics. Front. Psychol. 2023, 14, 1160020.","{""author"": ""S. Corovic, V. Vucic, O. Mihaljevic, J. Djordjevic, S. Colovic, S. Radovanovic, S. Radevic, I.S. Vukomanovic, K. Janicijevic, M. Sekulic"", ""journalName"": ""Front. Psychol."", ""year"": 2023}"
66,"Ruiz-Rodríguez, I.; Hombrados-Mendieta, I.; Melguizo-Garín, A.; Martos-Méndez, M.J. The Importance of Social Support, Optimism and Resilience on the Quality of Life of Cancer Patients. Front. Psychol. 2022, 13, 833176.","{""author"": ""I. Ruiz-Rodr\u00edguez, I. Hombrados-Mendieta, A. Melguizo-Gar\u00edn, M.J. Martos-M\u00e9ndez"", ""journalName"": ""Front. Psychol."", ""year"": 2022}"
67,"Wills, T.A.; Shinar, O. Measuring perceived and received social support. In Social Support Measurement and Intervention: A Guide for Health and Social Scientists; Cohen, S., Underwood, L.G., Gottlieb, B.H., Eds.; Oxford University Press: Oxford, UK, 2020; pp. 86–135.","{""author"": ""T.A. Wills, O. Shinar"", ""journalName"": ""In Social Support Measurement and Intervention: A Guide for Health and Social Scientists"", ""year"": 2020}"
